username,name,email,active,birthdate,tier,n_accounts
anthonyandrade,Anna Perkins,madison55@gmail.com,,1976-06-13,,1
andreawalker,Kenneth Murphy,egonzales@yahoo.com,,1994-05-06,Platinum,1
rodriguezjeffrey,Steven Campbell,kristen30@yahoo.com,,1976-10-31,,2
kanelinda,Ann Williams,jhoward@yahoo.com,,1994-06-17,Gold,4
wmartinez,Crystal Brown,vincenthayes@yahoo.com,,1989-03-22,,5
ethanarias,Christopher Watson,lscott@gmail.com,,1984-07-24,,1
stephanie68,Matthew Jones,douglaschavez@hotmail.com,,1990-06-01,,5
paul82,Joseph Dawson,cgonzalez@yahoo.com,,1968-02-04,Gold,1
jessica94,Brandon Moore,thompsonnicholas@yahoo.com,,1967-05-25,,4
anthonygarza,Jeffrey Lester,aacosta@yahoo.com,,1985-12-30,Gold,1
thomasmendoza,David Lawrence,cfoster@gmail.com,,1993-04-02,,2
stephen89,Jason Martinez,tmcdonald@hotmail.com,,1985-02-23,Gold,5
kristinabaird,Kenneth Williams,ygeorge@hotmail.com,,1982-10-04,,1
ronald62,Phillip Obrien,lopezsean@hotmail.com,,1987-02-26,,6
portermaria,Sarah White,christensenallison@yahoo.com,,1987-01-29,,2
nicholassmith,Amy Lawrence,christophercastro@hotmail.com,,1989-06-14,Platinum,4
weberdominic,James Moore,brittney17@gmail.com,,1994-08-03,,3
williammurphy,John Wright,blackwayne@hotmail.com,,1970-02-09,Silver,1
glennkimberly,Jose Villarreal,jonesgregory@hotmail.com,,1979-08-18,Silver,2
uwong,Nathaniel Simpson,davidhooper@yahoo.com,,1994-04-25,Silver,1
abrown,Ray Jenkins,nicolehicks@gmail.com,,1974-03-11,,2
laurapatterson,Ms. Kristen Williams MD,stephenwarner@hotmail.com,,1986-08-11,Gold,2
robertbradshaw,Stephen Flores,philiphenderson@hotmail.com,,1986-10-07,Platinum,1
luke58,Natasha Conrad,jamesfloyd@hotmail.com,,1984-10-03,,1
leonardbryan,Melanie Hernandez,nicoleeaton@gmail.com,,1985-07-20,,2
mirandachad,Kristine Vazquez,tgriffith@gmail.com,,1974-06-20,Silver,1
awilliams,Linda Lee,morrisondavid@gmail.com,,1991-03-05,Silver,1
tracyedwards,Sandra Anderson,amy21@gmail.com,,1985-10-25,,3
petergilbert,Angela Campbell,jocelyn67@yahoo.com,,1991-12-15,Platinum,6
lisanavarro,Wendy Woods,clarkleah@gmail.com,,1990-11-08,Gold,1
james33,Michael Reynolds,caitlin24@gmail.com,,1982-07-01,Bronze,6
mirandajones,Wanda Rodgers,rward@yahoo.com,,1989-08-28,Bronze,2
leekara,Lorraine Mullen,davisholly@hotmail.com,,1992-02-27,Silver,6
jenniferstephens,Maria Alexander,atkinsontodd@hotmail.com,,1995-08-11,,4
fgibson,Andrea Mcmillan,andrewlowe@yahoo.com,,1973-11-26,,4
jmitchell,Whitney Johnson,kinglaura@yahoo.com,,1992-06-01,,2
ashley97,James Smith,kevin84@yahoo.com,,1966-09-17,Platinum,5
gsmith,Courtney Dunn,ysmith@yahoo.com,,1983-02-05,,2
rwelch,Adrienne Obrien,leslieday@gmail.com,,1967-11-29,,1
earroyo,Teresa Smith,melissapatrick@yahoo.com,,1991-07-15,Platinum,5
roger47,Luis Peterson,matthew37@yahoo.com,,1980-07-21,,3
oliviamcconnell,Jack Brown,emilyjordan@yahoo.com,,1985-05-08,,3
gonzalezjonathan,Christopher Lee,ryan82@hotmail.com,,1978-09-02,Platinum,1
fcain,Christopher Castro,michaeljimenez@hotmail.com,,1983-02-24,,2
pgilbert,Lisa Tate,crystalromero@hotmail.com,,1976-06-19,Platinum,2
wmurray,Robert Pearson,tuckermary@yahoo.com,,1993-01-31,,5
mathewsnicholas,Cheryl Herring,jessica87@hotmail.com,,1984-06-06,Bronze,4
lyoung,Kaitlin Miller,mariahmcpherson@gmail.com,,1985-05-27,Gold,3
rfox,Willie Atkinson,ginahawkins@hotmail.com,,1986-08-28,,3
laurie54,Elizabeth Bowers,moralesgloria@yahoo.com,,1972-09-19,Platinum,3
swiggins,Rodney Giles,lynncynthia@hotmail.com,,1977-06-01,Gold,2
efischer,Tiffany Jackson,ngreen@yahoo.com,,1992-10-03,,1
matthewharris,Thomas Figueroa,jeff42@hotmail.com,,1971-08-29,Bronze,5
shelbyoliver,Brendan Leonard,tabithaleon@hotmail.com,,1985-03-16,,3
timothyayers,Cheryl Anderson,snydermark@yahoo.com,,1995-06-01,,3
salazarbilly,Meghan Wood,richard20@gmail.com,,1971-09-03,,5
emily48,Mary Cox,rowlanderic@yahoo.com,,1993-12-17,Bronze,3
kylejenkins,Christine Brown,iball@gmail.com,,1989-07-30,Platinum,6
oroberts,Bradley Smith,christopher22@hotmail.com,,1969-12-17,Silver,2
rebecca82,Alexander Hernandez,campbelljuan@hotmail.com,,1980-05-04,,2
ogonzalez,Brandy Moran,kaylaharris@hotmail.com,,1978-12-04,,2
xavierwillis,Lindsey Burke,paige01@yahoo.com,,1991-12-19,Platinum,5
nicole89,Amanda Willis,hudsonchristopher@gmail.com,,1972-09-27,,3
denisepayne,Randall Patel,andreaevans@gmail.com,,1991-07-16,,5
emilybrooks,Travis White,tsosa@hotmail.com,,1977-11-30,,6
julierobertson,Robert Walker,millerjamie@gmail.com,,1972-12-01,,5
garymiller,Wendy Lane,kristinmartinez@hotmail.com,,1984-09-05,Bronze,1
dianabautista,Matthew Hernandez,pmitchell@yahoo.com,,1990-08-01,Platinum,1
natalie11,Teresa Brooks,saguilar@gmail.com,,1971-09-29,Gold,2
emily32,Cheryl Ingram,mtaylor@hotmail.com,,1991-04-14,Silver,6
zriley,Casey Taylor MD,ihernandez@yahoo.com,,1974-04-18,,2
joshuagarcia,Maria Ayers,ccherry@hotmail.com,,1969-05-24,Silver,5
pfranklin,Alyssa Bailey,ble@gmail.com,,1971-11-23,Gold,2
laura78,Justin Bryant,emily47@hotmail.com,,1978-09-12,Silver,2
smccall,Justin Miller,whiteheadnicholas@hotmail.com,,1995-07-01,,1
spearsalec,Crystal Walker,rebeccamckinney@yahoo.com,,1980-03-14,Platinum,6
ojohnson,Bryce Bowen,rebecca54@hotmail.com,,1994-07-29,,1
ihill,Kara Thomas,sharontorres@hotmail.com,,1977-02-01,,5
jdavis,Amanda Rogers,arellanopatricia@yahoo.com,,1990-03-23,,1
santosjordan,Gabriel Meza,nancywhite@hotmail.com,,1986-03-05,Gold,2
austinfisher,Dustin Peterson,brandon48@yahoo.com,,1996-02-23,,1
allenhubbard,Bradley Roberts,donna47@hotmail.com,,1996-08-27,,5
heather23,Richard Barr,kaitlin77@hotmail.com,,1995-11-10,,6
ebeasley,Anthony Frost,mary98@hotmail.com,,1978-11-10,Platinum,2
atorres,Amber Collier,mia28@yahoo.com,,1988-04-22,Gold,5
rivaslonnie,David Warren,jennifer49@gmail.com,,1978-02-27,,3
waterskatherine,Jacqueline Davis,yleon@yahoo.com,,1975-06-18,Platinum,5
christopherdean,Eric Johnson,carrie23@gmail.com,,1973-09-07,,5
nsalinas,Tammy Parker,thorntoncynthia@yahoo.com,,1970-03-15,Gold,3
ianjones,Douglas Johnson,bennettwendy@yahoo.com,,1979-11-30,Bronze,6
maryfuller,Daniel Shaw,owensrodney@yahoo.com,,1974-10-04,,4
allenjennifer,Brian Woodard,donna67@hotmail.com,,1976-11-11,,4
mortonaustin,Chelsea Tyler,brian57@gmail.com,,1979-04-13,,2
cameron30,Jacob Flores,tracykennedy@gmail.com,,1973-01-16,,3
jennifer15,Daniel Buckley,mcox@hotmail.com,,1992-07-09,Silver,3
willie94,Douglas Sharp DDS,reyesheather@gmail.com,,1972-08-14,,2
erobinson,Heather Castro,cedwards@hotmail.com,,1988-12-21,,3
amanda54,Samantha Cain DVM,jaime61@hotmail.com,,1991-04-03,Platinum,4
marylong,Melanie Scott,scott89@gmail.com,,1982-06-12,Gold,1
stewartmichele,Robert Pearson,aaron15@yahoo.com,,1974-11-07,Gold,3
tateashley,Dr. William Carlson,joseph07@yahoo.com,,1974-03-22,Bronze,3
shanebrown,Chelsea Hardin,janet51@yahoo.com,,1984-06-04,,3
tina17,Danielle Blevins,robertlloyd@hotmail.com,,1987-01-16,,1
markwells,Betty Clayton,egreen@yahoo.com,,1966-08-06,Gold,1
robersonmichael,Cody Schmitt,colemanjamie@gmail.com,,1976-09-27,,4
dawsonmelissa,Chelsea Clay,stevensteele@yahoo.com,,1978-03-09,Gold,2
jeffreyskinner,Megan Luna,jennifer73@gmail.com,,1992-04-11,,6
jlee,Sandra Miller,hamiltonanthony@gmail.com,,1982-05-30,,6
hjohnson,Margaret Adams,brian12@yahoo.com,,1993-10-08,Silver,5
davisjames,Sarah Powell,justinsantos@yahoo.com,,1979-08-28,,3
wmanning,John Barajas,cheryltrujillo@yahoo.com,,1972-12-28,Silver,4
janetking,Craig Koch,ebrooks@hotmail.com,,1970-07-10,,5
edwardszachary,John Guzman,christopher91@hotmail.com,,1968-10-28,Silver,3
sarahhayden,Sean Hopkins,benjamin34@yahoo.com,,1976-06-29,,3
xrodriguez,Johnathan Reyes,wnguyen@gmail.com,,1972-06-21,,1
hbond,Paul Flores,zamoragary@gmail.com,,1987-09-24,,5
xestrada,Randy Moore,adam80@yahoo.com,,1971-03-10,,2
icooke,Julie Mora,clarkjean@gmail.com,,1982-03-06,Platinum,3
psnow,Kelly Clark,davidsullivan@hotmail.com,,1996-03-14,Platinum,1
yubarry,Alex Turner,jennifer49@gmail.com,,1974-03-08,,4
johnsonjohn,Mr. Alex Chavez,daniel10@yahoo.com,,1995-12-29,,3
hughesann,John Brown,travis88@hotmail.com,,1966-12-08,Gold,1
johnmartinez,Wendy Young DVM,martinezrobert@yahoo.com,,1995-10-16,,1
angelathomas,Shane Mills,lmartinez@hotmail.com,,1980-10-29,Platinum,3
tknight,Seth Gonzalez,paul16@hotmail.com,,1970-03-26,Silver,1
marccolon,Sarah Lowery,gomeztonya@hotmail.com,,1983-04-27,Bronze,3
caitlinmcdonald,Brittany Thompson,cunninghammary@gmail.com,,1977-06-25,,5
gburton,Joseph Price,eyoung@yahoo.com,,1996-08-12,Bronze,6
linda48,Patricia Powers,jonesbeverly@gmail.com,,1969-04-23,,5
craiglee,Michael Lewis,pittmanmatthew@yahoo.com,,1973-12-14,,1
hurstmatthew,Stacey Grimes,calderonchad@hotmail.com,,1970-11-14,Platinum,5
kelly68,Angela Leblanc,lopezchristopher@yahoo.com,,1986-06-02,,5
jason27,Bobby Chan,jessicagrant@yahoo.com,,1975-12-30,Bronze,1
ihill,Cynthia Smith,kathleenclark@yahoo.com,,1983-12-11,Bronze,3
jose42,Kevin Robbins,handerson@gmail.com,,1967-12-05,,2
nathaniel64,Lynn Vance,nixoneric@hotmail.com,,1971-04-25,,5
jsaunders,James Lopez,farmerralph@gmail.com,,1968-04-19,,3
peterwolfe,Stephen Nelson,deborah60@yahoo.com,,1970-06-30,Bronze,6
stricklandmichael,Bradley Lopez,ryanadams@yahoo.com,,1971-02-05,,4
marysmith,Scott Wilson,angelarogers@yahoo.com,,1980-04-04,Bronze,6
apeck,Christopher Hayes,aherrera@yahoo.com,,1990-04-30,Silver,6
ggreen,Michele Noble,johnsonsusan@yahoo.com,,1995-05-14,,6
barnessarah,Mr. Shawn Griffin,rphillips@yahoo.com,,1976-05-03,,4
xdavis,Krista Mcdonald,brittany49@hotmail.com,,1981-11-02,Bronze,3
murraygregory,Kevin Howard,cdaniel@gmail.com,,1990-05-21,,1
susanfranco,Chad Ryan,alanfarley@gmail.com,,1974-03-08,Silver,6
bernardowens,Charles Sanchez,rhogan@hotmail.com,,1996-01-17,Platinum,4
stewartmonique,David Smith,carljoyce@gmail.com,,1995-10-23,Gold,4
dana88,Cory Grant,dbenitez@hotmail.com,,1974-05-13,Silver,4
jdawson,Elizabeth Moore,brandonmercer@yahoo.com,,1967-11-02,,5
thomascunningham,Michael Palmer,david45@yahoo.com,,1968-09-15,Bronze,3
okrueger,Justin Crawford,emurray@hotmail.com,,1992-07-29,,2
cody34,Julie Erickson DDS,sgreene@gmail.com,,1981-04-17,Silver,2
tinajacobs,Marie Torres,mcintoshalbert@yahoo.com,,1987-06-03,Gold,4
juliemccoy,Tammy Ramirez,nancypeters@hotmail.com,,1990-06-16,Gold,4
katherinenunez,Peter Robertson DDS,ginaswanson@hotmail.com,,1972-01-07,,2
sharpallison,Christopher Hall,fcochran@hotmail.com,,1994-08-27,,6
yfreeman,Terri Lynn,brian26@gmail.com,,1991-05-15,,4
leechristine,Blake Gregory,huffmitchell@yahoo.com,,1971-05-30,,4
steven28,Brian Brown,garyriddle@hotmail.com,,1981-03-04,,1
nicole28,Dr. Matthew Cooper,wrightemily@gmail.com,,1973-10-18,,4
tracierodriguez,Kimberly Soto,sbaker@gmail.com,,1987-03-25,Platinum,4
tracydavis,Debbie Villa,todd31@yahoo.com,,1992-08-23,,3
wilcoxjustin,Michelle Stewart,mary95@yahoo.com,,1989-03-04,,4
raymond33,Stephanie Neal,msloan@hotmail.com,,1974-11-14,Platinum,4
nunezdale,John Nguyen,juanbentley@gmail.com,,1974-12-05,Platinum,4
crodriguez,Charles Jones,vancejohnny@hotmail.com,,1974-01-24,Gold,1
lejoshua,Michael Johnson,courtneypaul@gmail.com,,1971-09-23,Silver,2
lauren69,Bradley Mack,woodpriscilla@hotmail.com,,1995-08-19,,1
stonekaren,Edward Frank,steven67@hotmail.com,,1982-01-19,Gold,5
wendy61,James Jones,gonzalezbethany@hotmail.com,,1972-04-30,Bronze,2
xgarcia,Shelley Watson,gailguerrero@hotmail.com,,1991-05-01,,6
rothdaryl,Christopher Mercado,brianpowell@yahoo.com,,1983-10-27,Silver,3
wwilson,Jonathon Small,michael32@hotmail.com,,1981-08-10,,2
thomas48,David Obrien,cindy96@yahoo.com,,1970-07-02,Bronze,6
kingraymond,Ashley Mosley,michael63@gmail.com,,1979-05-09,Bronze,3
eroberts,Valerie Vaughn,calvinwhite@yahoo.com,,1979-03-01,Platinum,5
amanda78,Geoffrey Ball,ryanphelps@hotmail.com,,1973-12-04,,1
ambercraig,Trevor Perry,bellamanda@hotmail.com,,1979-07-14,Platinum,2
djames,Lisa Jones,francisco62@hotmail.com,,1979-12-29,,2
christine68,Amanda Hammond,nicholas62@hotmail.com,,1980-03-12,,3
jamesray,Adam Anderson,lesliemiranda@gmail.com,,1988-08-04,,4
clifford40,Travis Palmer,andrea82@gmail.com,,1991-03-06,,5
keith63,James Martin,michael75@yahoo.com,,1986-10-24,Platinum,4
maria18,John Lee III,chapmandiane@gmail.com,,1986-07-07,,6
zchandler,Victoria Jones,candicediaz@gmail.com,,1991-05-20,,2
sthompson,Kendra Parker,matthew69@hotmail.com,,1980-10-09,,3
carolynmorris,Adam Miller,richard78@gmail.com,,1990-10-31,Silver,1
fletchernicole,Bryan Huff,anna26@gmail.com,,1970-09-26,,2
thomas16,Elizabeth Meyer,andrew95@gmail.com,,1992-01-01,Silver,1
kimberlycarpenter,James Rose,simpsonpatrick@gmail.com,,1968-04-27,,3
pjordan,Raymond Hudson,annamaxwell@yahoo.com,,1972-07-20,,5
jenniferhopkins,Chelsea Wells,stephaniethomas@gmail.com,,1973-05-08,Bronze,4
monica24,Daniel Walker,chad79@gmail.com,,1990-01-14,Platinum,4
vcarpenter,William Johnson,casey29@hotmail.com,,1987-06-17,Gold,1
matthewcochran,Heather Martinez,ptaylor@hotmail.com,,1996-06-04,,4
kevinbenson,Alexander Goodman,william88@yahoo.com,,1967-08-19,,2
alexsanders,Annette Watts,meganwilliams@hotmail.com,,1988-08-18,,6
casey21,Matthew Montgomery,rle@hotmail.com,,1986-09-11,,2
wolfheather,Elizabeth Hughes,gmoore@gmail.com,,1987-09-26,Bronze,5
hernandezlouis,Erica Little,barrjeffrey@hotmail.com,,1991-11-04,Gold,5
dianefoster,Daniel Wang,vchristensen@gmail.com,,1988-12-15,,4
davidestrada,Angela Ortiz,mitchelldeborah@gmail.com,,1966-08-17,Bronze,2
nataliebrooks,Matthew Medina,tina96@hotmail.com,,1980-06-02,Gold,5
charlotte30,Emily Davidson,wintersmorgan@hotmail.com,,1973-01-26,,2
nicole25,Jeremy Sullivan,jacob15@hotmail.com,,1992-12-19,Gold,3
rhonda93,Shannon Bonilla,braunelizabeth@hotmail.com,,1988-11-27,Platinum,2
patrick05,Jamie Bray,blakesarah@gmail.com,,1970-04-16,,6
matthew71,Brenda Mercer,cabreramatthew@hotmail.com,,1987-06-30,Bronze,2
hillcaroline,Jasmin Carlson,rhoward@hotmail.com,,1982-09-29,,1
charlescollins,Thomas Zimmerman,davidarcher@yahoo.com,,1969-03-13,,1
melinda02,Stephen Roberts,angela75@yahoo.com,,1990-04-21,Gold,3
derek98,Sandra Davila,rgraham@hotmail.com,,1972-10-07,Bronze,6
spencealexis,Michael Bradley,williamsmichael@yahoo.com,,1994-11-03,,4
ubentley,Rita Brown,jonesseth@gmail.com,,1994-09-23,Silver,5
richardsanchez,James Mooney,samuelvalencia@gmail.com,,1990-03-22,,2
zachary93,Christine Robinson,whitebrandon@hotmail.com,,1967-11-24,,3
qwaller,Dr. Derek Maldonado,jasonkennedy@yahoo.com,,1973-06-18,Bronze,6
elizabethjackson,Matthew Chapman,twatkins@yahoo.com,,1979-08-29,Gold,5
madeline96,Phillip Molina,steven93@gmail.com,,1976-04-03,,6
rhondagreene,Jesus Williams,tiffanyblackburn@yahoo.com,,1983-02-14,,2
samantha27,Tracy Rice,shane72@gmail.com,,1969-05-14,Silver,6
kylewilliams,Jordan Parker,pamelacastillo@hotmail.com,,1973-12-31,,6
weaverlarry,Jonathan Strong,hansonmichael@gmail.com,,1985-07-09,Platinum,4
andrew79,Dr. Matthew Archer,johnsonjennifer@hotmail.com,,1986-08-18,,3
bakerandre,Michelle Jones,natasha35@hotmail.com,,1972-12-03,Gold,1
ryan87,Victoria Delacruz,jasonrandolph@hotmail.com,,1986-01-27,,5
morgandenise,Nathan Thompson,claynathaniel@yahoo.com,,1988-05-05,,6
ecollins,Jessica Butler,marcia71@gmail.com,,1979-10-05,,1
qramsey,Sierra Williams,janetcardenas@yahoo.com,,1996-04-10,Gold,5
selenamunoz,William Taylor,wrose@hotmail.com,,1967-11-09,Platinum,2
nlawson,Kelly Hinton,david02@hotmail.com,,1969-10-10,,1
xgrant,Angela Jones,ronald23@hotmail.com,,1982-02-26,,6
todd60,Michael Morgan,lgarcia@yahoo.com,,1993-06-27,Gold,6
twright,Dr. Gloria Diaz DDS,bsherman@hotmail.com,,1969-07-28,,4
rcannon,Mario Rice PhD,ttran@gmail.com,,1992-10-06,Bronze,3
alexandra72,Amy Bennett,zhines@yahoo.com,,1978-06-01,,3
beverly20,Tonya Vega,brooke86@yahoo.com,,1970-05-15,,1
nicolesmith,Robert Hooper,stephenmassey@hotmail.com,,1976-10-31,Platinum,2
stephaniefreeman,Erika Davies,nguyendenise@gmail.com,,1988-07-22,Bronze,3
vjordan,Emily King,hgarza@yahoo.com,,1982-02-05,Silver,2
perezsarah,Amanda Best,dustinunderwood@gmail.com,,1980-01-05,,5
whitejill,Fred Wang,ryanwilliams@gmail.com,,1974-02-07,,6
joshua19,Rachel Hunter,michael95@gmail.com,,1989-02-02,,4
briana39,Christopher Adkins,bbeasley@hotmail.com,,1989-09-25,,5
peter77,Jacqueline Dixon,cindyarmstrong@gmail.com,,1981-04-21,Silver,5
jgutierrez,Karen Wise,mark99@hotmail.com,,1992-08-13,,4
ncardenas,David Chung,isweeney@hotmail.com,,1974-08-12,Bronze,5
bryanjones,David Brown,brianjohnson@hotmail.com,,1972-04-18,Gold,4
avaughan,Dennis Newton,wnelson@hotmail.com,,1968-04-15,,5
mccartyjonathan,Deanna Howard,jonesmatthew@gmail.com,,1991-07-23,,1
zimmermanchristopher,Thomas Barber,jeffrey21@yahoo.com,,1968-09-03,,3
ayalafrances,Tracy Harrison,sgardner@gmail.com,,1995-01-16,,5
hpatrick,Mrs. Sara Maxwell,rgordon@yahoo.com,,1980-04-30,Bronze,6
avega,Brianna Turner,kaylaperez@hotmail.com,,1974-12-22,Silver,2
edward39,Maria Myers,bwiley@hotmail.com,,1991-05-14,,4
walshtimothy,Michael Martinez,isaachart@yahoo.com,,1994-03-05,,6
blairholly,Jennifer Moore,jcortez@gmail.com,,1992-06-04,Bronze,3
briannamercado,Summer Cunningham,patriciasmith@hotmail.com,,1972-08-03,,2
yjohnson,Jessica Parker,schmittbrian@hotmail.com,,1976-08-24,Bronze,3
holmesjasmine,Sherri Bailey,rgarcia@gmail.com,,1972-02-16,,1
martinallen,Colleen Watson,shane95@yahoo.com,,1994-06-12,,6
qnelson,Natalie Wise,berryryan@yahoo.com,,1976-02-16,Gold,6
imurphy,Wendy Thomas,karenmosley@hotmail.com,,1989-10-02,Silver,3
markjohnson,Kevin Martin,hsosa@hotmail.com,,1989-09-27,,3
warrenashley,Joe Little,kaitlyngill@hotmail.com,,1992-02-28,,4
timothyvelasquez,Anna Flowers,qblake@yahoo.com,,1971-10-20,,4
jeffaustin,Benjamin Miller,vgarcia@yahoo.com,,1974-03-27,Platinum,1
tammygonzalez,Ashley Rodriguez,gnichols@gmail.com,,1969-11-11,Bronze,6
wilsonandrew,Kelsey Ryan,mcarr@hotmail.com,,1988-02-19,,3
lisaroberts,Daniel Turner,gmccarthy@yahoo.com,,1966-07-30,,1
wellsjoseph,Michelle Phillips,harttommy@hotmail.com,,1966-11-03,,3
karenfarrell,Charles Flores,rebecca51@hotmail.com,,1972-02-02,Bronze,2
wesleygill,William Peterson,murphyjenna@hotmail.com,,1989-08-09,,1
mwells,Richard Benson,justinweaver@gmail.com,,1976-04-11,Gold,5
bmoran,Jessica Russell,larsenmathew@yahoo.com,,1983-05-31,,6
dpitts,Nicholas Brown,steven83@hotmail.com,,1967-05-19,,2
christophercooper,Denise Curtis,fmoore@hotmail.com,,1975-03-06,Gold,3
mollyspencer,Bryan Torres,mcintyrewhitney@yahoo.com,,1985-09-26,Platinum,5
campbellalicia,Wesley Rodriguez,fergusonshane@gmail.com,,1969-12-20,Platinum,2
ricechristina,Crystal Jimenez,snydertonya@yahoo.com,,1992-07-06,Gold,6
anntaylor,Jennifer Wells,paulrojas@yahoo.com,,1967-08-23,Silver,2
rebecca18,Mariah Dixon,abrown@hotmail.com,,1978-08-09,,6
zgrant,James Gibson,hortega@gmail.com,,1990-10-02,Gold,6
zcole,Shawn Austin,cameron37@hotmail.com,,1970-11-30,Silver,6
brownbrian,Michele Mitchell,juanmalone@gmail.com,,1984-09-13,Gold,2
jennifer58,James Frazier,wfigueroa@hotmail.com,,1986-03-02,,2
hthornton,Jacob Green,gjohnson@gmail.com,,1992-01-06,Silver,3
caroline49,Jennifer Carter,hatfieldcurtis@yahoo.com,,1992-01-05,Platinum,2
johnsonbarbara,April Smith,flewis@gmail.com,,1988-11-22,,5
sherryrobinson,Christopher Clark,ebaker@yahoo.com,,1984-01-22,,2
walkerashley,Marc Cain,kennethrodgers@gmail.com,,1997-04-11,Bronze,6
uvelazquez,Austin Owens,stephaniemartin@gmail.com,,1995-09-20,,5
zgraham,Scott Fisher,nicholasbrown@hotmail.com,,1992-01-28,Silver,6
lisapowell,Yolanda Harris,jennifer79@yahoo.com,,1978-12-12,,4
kayla67,David Nash,jeffery58@hotmail.com,,1971-03-15,Silver,2
emiller,Debra Gross,stacey30@gmail.com,,1996-07-05,,5
lschwartz,Scott Campbell,mmccullough@gmail.com,,1969-06-27,Platinum,4
terrychristine,Nicholas Simon,jlewis@gmail.com,,1996-03-03,Platinum,1
joel58,Kirsten Martinez,sharonross@yahoo.com,,1995-04-18,Platinum,2
hornlucas,Jill Hodges,robinsonscott@gmail.com,,1972-02-14,,5
nmason,Felicia Perez,xperez@yahoo.com,,1978-11-25,Bronze,6
gwendolynwilliams,Kenneth Green,fharris@hotmail.com,,1970-02-02,,3
nguyenjulie,Danielle Hancock,lbutler@yahoo.com,,1969-07-08,,6
rodney14,Jaime Downs,stevenlucero@yahoo.com,,1985-03-11,Silver,2
williamadams,Lisa Clark,mooreangela@hotmail.com,,1988-06-25,,3
catherine45,Elizabeth Smith,elizabethvaughn@hotmail.com,,1979-07-12,Gold,6
patrick23,Rachel Sanders,srobinson@gmail.com,,1995-09-04,,6
andrea41,Jennifer Rush,cjordan@hotmail.com,,1969-12-01,,5
morrowhenry,Lauren Hernandez,seanrobles@gmail.com,,1995-03-09,,4
joneskevin,Adam Serrano,hstewart@hotmail.com,,1978-05-13,,1
odonnellbrandon,Justin Thompson,stevenjenkins@yahoo.com,,1979-04-22,,6
uortiz,Megan Tanner,jamesgregory@gmail.com,,1980-04-06,,6
mgray,Charles Smith,michelle34@yahoo.com,,1996-05-02,Platinum,4
lisa89,Carlos Lee,jonathan41@gmail.com,,1991-04-10,,6
bobby06,Ashley Little,aadkins@hotmail.com,,1994-04-19,Gold,6
zcampbell,Gregory King,christopher17@yahoo.com,,1974-08-19,Silver,5
durankatie,Joshua Daniels,mcdowelldaniel@hotmail.com,,1985-10-12,Platinum,5
emily13,Colin Mueller,watsonsean@gmail.com,,1986-02-23,Bronze,3
steven82,Michael Gomez,sgillespie@gmail.com,,1988-08-10,,1
qjohnson,Stephanie Patterson,eclark@gmail.com,,1973-11-12,,1
bishopshawn,Michael Evans,greggreen@gmail.com,,1985-11-28,Gold,4
michael24,Terry Nicholson,sanchezalex@yahoo.com,,1988-04-01,Silver,6
ashley98,Danielle Williams,jeremy58@gmail.com,,1977-02-21,,2
courtneyholland,Emily Guerra,wwilson@gmail.com,,1976-06-15,Platinum,4
suzanne81,Belinda Khan,sherry31@yahoo.com,,1985-06-14,Gold,6
roconnor,Robert Obrien,sfreeman@gmail.com,,1989-05-13,,1
scottfisher,Rebecca Wheeler,clinton96@gmail.com,,1976-08-26,Bronze,3
